wave	outcome	exposure	category	events	pyr_10000	rate_per_10000	rate_cl	rate_cu	expcat	hr_conf	hr_conf_imd	hr_conf_resid	hr_conf_obese	hr_conf_all
1	"COVID-19 admission"	"Combined grouping"	"CP but not LDR"	"[REDACTED]"	0.20728	14.4732	4.6679	44.8753	3	"9.14 (3.16, 26.49)"	"9.07 (3.14, 26.25)"	"9.14 (3.16, 26.48)"	"9.15 (3.16, 26.52)"	"9.08 (3.14, 26.28)"
1	"COVID-19 admission"	"Combined grouping"	"DS and LDR"	"[REDACTED]"	0.04570	21.8831	3.0825	155.3493	2	"12.39 (1.74, 87.98)"	"12.27 (1.73, 87.11)"	"12.4 (1.75, 88.1)"	"12.52 (1.76, 88.98)"	"12.42 (1.75, 88.27)"
1	"COVID-19 admission"	"Combined grouping"	"DS but not LDR"	"[REDACTED]"	0.08674	11.5288	1.6240	81.8438	1	"4.77 (.67, 34.11)"	"4.79 (.67, 34.23)"	"4.77 (.67, 34.11)"	"4.77 (.67, 34.12)"	"4.79 (.67, 34.26)"
1	"COVID-19 admission"	"Combined grouping"	"LDR with no DS or CP"	"[REDACTED]"	0.39683	7.5599	2.4382	23.4400	5	"4.48 (1.58, 12.68)"	"4.42 (1.55, 12.56)"	"4.5 (1.59, 12.74)"	"4.5 (1.59, 12.75)"	"4.46 (1.57, 12.68)"
1	"COVID-19 admission"	"Combined grouping"	"No"	"[REDACTED]"	1.3e+02	2.1054	1.8715	2.3685	0	""	""	""	""	""
2	"COVID-19 admission"	"Learning disability register"	"No"	"509"	1.1e+02	4.4734	4.1012	4.8794	0	""	""	""	""	""
2	"COVID-19 admission"	"Learning disability register"	"Yes"	"20"	0.41518	48.1717	31.0783	74.6666	1	"9.18 (5.89, 14.29)"	"8.98 (5.76, 13.98)"	"9.24 (5.93, 14.38)"	"8.96 (5.75, 13.97)"	"8.83 (5.67, 13.77)"
2	"COVID-19 admission"	"LDR Severe vs mild"	"LDR, mild"	"13"	0.35421	36.7013	21.3108	63.2065	1	"7.18 (4.2, 12.27)"	"7.01 (4.1, 11.98)"	"7.21 (4.22, 12.32)"	"7.04 (4.13, 12.02)"	"6.92 (4.06, 11.81)"
2	"COVID-19 admission"	"LDR Severe vs mild"	"LDR, profound"	"7"	0.06097	114.8105	54.7341	240.8273	2	"19.04 (8.91, 40.71)"	"18.74 (8.76, 40.1)"	"19.37 (9.06, 41.41)"	"18.25 (8.48, 39.27)"	"18.27 (8.48, 39.35)"
2	"COVID-19 admission"	"LDR Severe vs mild"	"No"	"509"	1.1e+02	4.4734	4.1012	4.8794	0	""	""	""	""	""
2	"COVID-19 admission"	"LDR by residential care"	"LDR, community"	"20"	0.41302	48.4236	31.2409	75.0571	1	"9.24 (5.93, 14.38)"	"9.03 (5.8, 14.07)"	". (., .)"	"9.02 (5.79, 14.05)"	"8.83 (5.67, 13.77)"
2	"COVID-19 admission"	"LDR by residential care"	"LDR, residential care"	"0"	0.00216	0.0000			2	"0 (0, 0)"	"0 (0, 0)"	". (., .)"	"0 (0, 0)"	"0 (0, 0)"
2	"COVID-19 admission"	"LDR by residential care"	"No"	"509"	1.1e+02	4.4734	4.1012	4.8794	0	""	""	""	""	""
2	"COVID-19 admission"	"Down's syndrome"	"No"	"520"	1.1e+02	4.5580	4.1826	4.9671	0	""	""	""	""	""
2	"COVID-19 admission"	"Down's syndrome"	"Yes"	"9"	0.11361	79.2152	41.2169	152.2448	1	"16.63 (8.92, 31)"	"16.59 (8.9, 30.92)"	"16.64 (8.93, 31)"	"16.26 (8.74, 30.23)"	"16.25 (8.74, 30.21)"
2	"COVID-19 admission"	"Cerebral Palsy"	"No"	"516"	1.1e+02	4.5264	4.1522	4.9343	0	""	""	""	""	""
2	"COVID-19 admission"	"Cerebral Palsy"	"Yes"	"13"	0.19963	65.1220	37.8135	112.1523	1	"14.49 (8.51, 24.66)"	"14.34 (8.43, 24.42)"	"14.51 (8.53, 24.7)"	"14.35 (8.43, 24.44)"	"14.24 (8.36, 24.25)"
2	"COVID-19 admission"	"Combined grouping"	"CP and LDR"	"[REDACTED]"	0.02324	172.0868	64.5873	458.5096	4	"30.84 (11.43, 83.21)"	"30.64 (11.35, 82.69)"	"31.2 (11.56, 84.16)"	"30.35 (11.24, 81.95)"	"30.52 (11.3, 82.42)"
2	"COVID-19 admission"	"Combined grouping"	"CP but not LDR"	"[REDACTED]"	0.17638	51.0258	26.5495	98.0672	3	"12.35 (6.57, 23.2)"	"12.22 (6.51, 22.96)"	"12.35 (6.57, 23.2)"	"12.27 (6.53, 23.04)"	"12.14 (6.46, 22.8)"
2	"COVID-19 admission"	"Combined grouping"	"DS and LDR"	"[REDACTED]"	0.03991	100.2374	37.6209	267.0733	2	"21.65 (7.98, 58.7)"	"21.66 (7.98, 58.77)"	"21.64 (7.98, 58.7)"	"20.71 (7.66, 55.94)"	"20.74 (7.67, 56.04)"
2	"COVID-19 admission"	"Combined grouping"	"DS but not LDR"	"[REDACTED]"	0.07349	68.0375	28.3191	163.4623	1	"15.07 (6.74, 33.66)"	"14.99 (6.71, 33.48)"	"15.07 (6.75, 33.67)"	"14.97 (6.7, 33.47)"	"14.93 (6.68, 33.36)"
2	"COVID-19 admission"	"Combined grouping"	"LDR with no DS or CP"	"[REDACTED]"	0.35203	34.0878	19.3588	60.0233	5	"6.64 (3.81, 11.59)"	"6.48 (3.71, 11.29)"	"6.69 (3.83, 11.67)"	"6.51 (3.72, 11.38)"	"6.39 (3.66, 11.16)"
2	"COVID-19 admission"	"Combined grouping"	"No"	"[REDACTED]"	1.1e+02	4.3600	3.9923	4.7615	0	""	""	""	""	""
